id,grad_year,"degree","exp_level","career_field"
9401,2012,"","Customer Service","Entry Level"
9402,1989,"GCSE","Administrative Support","Experienced (Non-Managerial)"
9403,0,"0","Trades","Experienced (Non-Managerial)"
9404,0,"","Government","Experienced (Non-Managerial)"
9405,1993,"","Sales","Experienced (Non-Managerial)"
9406,2013,"Bachelor of Science","Human Resources","Entry Level"
9407,2004,"Bachelor of Science","Education and Training","Experienced (Non-Managerial)"
9408,0,"Associates Degree","Childcare","Experienced (Non-Managerial)"
9409,2016,"Bachelor of Science","Engineering","Student"
9410,1985,"Associate of Arts","Healthcare","Manager"
9411,1996,"School Certificate","Education and Training","Experienced (Non-Managerial)"
9412,0,"Bachelor of Science","Human Resources","Entry Level"
9413,2012,"Diploma","Childcare","Experienced (Non-Managerial)"
9414,0,"BBA","Sales","Experienced (Non-Managerial)"
9415,0,"","Social Sciences","Student"
9416,2014,"Associate of Applied Science","0","Student"
9417,12,"High School Diploma","Construction","Experienced (Non-Managerial)"
9418,2013,"","0","0"
9419,2007,"High School Diploma","Dental","Student"
9420,0,"High School Diploma","Marketing, Advertising and PR","Experienced (Non-Managerial)"
9421,2011,"Associate of Science","Nursing","Experienced (Non-Managerial)"
9422,1986,"Travel and Tourism Diploma","Travel and Hospitality","Experienced (Non-Managerial)"
9423,2011,"","0","0"
9424,2017,"","Green Jobs","Student"
9425,2014,"High School Diploma","Dental","Student"
9426,0,"Associates of Science Degree","Healthcare","Entry Level"
9427,11,"","Trades","Experienced (Non-Managerial)"
9428,2006,"Certified Nursing Assistant","Nursing","Experienced (Non-Managerial)"
9429,2009,"GED","Transportation and Distribution","Experienced (Non-Managerial)"
9430,2012,"High School Diploma","Business","Entry Level"
9431,2008,"High School Diploma","0","Experienced (Non-Managerial)"
9432,1982,"GED","Trades","Experienced (Non-Managerial)"
9433,0,"Bachelor of Science","Management","Executive"
9434,0,"None","Administrative Support","Experienced (Non-Managerial)"
9435,0,"","0","0"
9436,2013,"BBA","Insurance","Student"
9437,1997,"High School Diploma","Construction","Experienced (Non-Managerial)"
9438,2009,"High School Diploma","Fitness and Recreation","Experienced (Non-Managerial)"
9439,1988,"Associate of Arts","Beauty and Spa","Experienced (Non-Managerial)"
9440,1987,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
9441,0,"High School Diploma","Retail","Student"
9442,1976,"High School Diploma","Retail","Experienced (Non-Managerial)"
9443,0,"0","0","Entry Level"
9444,2013,"High School Diploma","Engineering","Student"
9445,2011,"High School Diploma","Business","Student"
9446,2014,"Certificate","Education and Training","Student"
9447,2006,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
9448,2016,"BBA","Textile and Apparel","Student"
9449,2008,"Associate of Science","Legal","Entry Level"
9450,1989,"Bachelor of Science","Green Jobs","Experienced (Non-Managerial)"
9451,2013,"High School Diploma","Art, Fashion and Design","Student"
9452,12,"","Sales","Student"
9453,2013,"BBA","Entertainment and Media","Experienced (Non-Managerial)"
9454,0,"3rd year apprentice (Attending)","Trades","Experienced (Non-Managerial)"
9455,2007,"Medical Assistant","Healthcare","Experienced (Non-Managerial)"
9456,2010,"High School Diploma","Legal","Experienced (Non-Managerial)"
9457,2007,"High School Diploma","Customer Service","Entry Level"
9458,0,"Bachelors of Business Administration","Business","Entry Level"
9459,2013,"GED","0","0"
9460,2009,"GED","Food and Beverage","Experienced (Non-Managerial)"
9461,1999,"Associate of Arts","Insurance","Manager"
9462,1992,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9463,1974,"High School Diploma","Education and Training","Entry Level"
9464,2014,"Bachelor of Arts","Food and Beverage","Experienced (Non-Managerial)"
9465,1996,"BS","Construction","Manager"
9466,2004,"Bachelor of Arts","Customer Service","Entry Level"
9467,5,"Bachelor of Arts","0","0"
9468,1984,"B.A","Management","Experienced (Non-Managerial)"
9469,2001,"High School Diploma","Construction","Experienced (Non-Managerial)"
9470,2014,"","Accounting and Finance","Manager"
9471,1979,"High School Diploma","Food and Beverage","Manager"
9472,2014,"","Customer Service","Experienced (Non-Managerial)"
9473,1993,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
9474,2015,"BSN","Administrative Support","Student"
9475,0,"0","0","Student"
9476,1989,"Certificate of License","0","0"
9477,1982,"","Healthcare","Experienced (Non-Managerial)"
9478,2015,"High School Diploma","0","Student"
9479,0,"CDL Class A","Transportation and Distribution","Experienced (Non-Managerial)"
9480,0,"0","0","Experienced (Non-Managerial)"
9481,1988,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
9482,2010,"High School Diploma","Military","Student"
9483,2014,"Associate of Arts","Architecture","Student"
9484,2013,"Bachelor of Arts","Business","Student"
9485,0,"","Business","Experienced (Non-Managerial)"
9486,1997,"","Manufacturing and Production","Manager"
9487,0,"0","0","0"
9488,2017,"High School Diploma","Business","Student"
9489,0,"","0","0"
9490,1997,"High School Diploma","Trades","Experienced (Non-Managerial)"
9491,0,"","Sales","Experienced (Non-Managerial)"
9492,0,"","Customer Service","Experienced (Non-Managerial)"
9493,2006,"High School Diploma","Military","Entry Level"
9494,2015,"Associate of Applied Science","Law Enforcement and Security","Student"
9495,1987,"Bachelor of Science","Food and Beverage","Experienced (Non-Managerial)"
9496,0,"Completed ITIL V3 certification.","Telecommunications and Wireless","Manager"
9497,1998,"High School Diploma","Trades","Manager"
9498,1989,"Associate of Science","Banking and Financial Services","Experienced (Non-Managerial)"
9499,2005,"High School Diploma","Retail","Manager"
9500,1994,"Diploma in Nursing(General,Psychiatry,Community  and  Midwifery","Nursing","Experienced (Non-Managerial)"
9501,2014,"Bachelor of Science","Manufacturing and Production","Entry Level"
9502,0,"","Food and Beverage","Student"
9503,0,"","Dental","Experienced (Non-Managerial)"
9504,2013,"High School Diploma","Retail","Experienced (Non-Managerial)"
9505,2017,"Bachelor of Science","Community and Public Service","Student"
9506,0,"0","0","Manager"
9507,0,"0","Sales","Experienced (Non-Managerial)"
9508,0,"0","0","Experienced (Non-Managerial)"
9509,2012,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
9510,0,"","0","Student"
9511,0,"High School Diploma","Government","Experienced (Non-Managerial)"
9512,0,"0","Nursing","Entry Level"
9513,2010,"Associate of Applied Science","Law Enforcement and Security","Manager"
9514,2000,"Certificate Programme in Industrial Relations","Human Resources","Manager"
9515,0,"","Customer Service","Manager"
9516,0,"","Trades","Experienced (Non-Managerial)"
9517,0,"Associate of Arts","Management","Manager"
9518,1981,"Associate of Arts","Library","Experienced (Non-Managerial)"
9519,1992,"High School Diploma","Insurance","Experienced (Non-Managerial)"
9520,2014,"High School Diploma","Retail","Experienced (Non-Managerial)"
9521,1998,"Associate of Science","Food and Beverage","Manager"
9522,0,"0","0","Student"
9523,0,"0","Real Estate","Manager"
9524,2009,"H.S. Diploma","Food and Beverage","Manager"
9525,2013,"A.A.S. in Behavioral Health and Human Services","Community and Public Service","Student"
9526,0,"0","0","Experienced (Non-Managerial)"
9527,0,"","Management","Experienced (Non-Managerial)"
9528,2008,"Associate of Arts","Childcare","Entry Level"
9529,1980,"GED","Food and Beverage","Experienced (Non-Managerial)"
9530,2002,"Bachelor of Arts","Education and Training","Student"
9531,2012,"Bachelors of Science","Nursing","Experienced (Non-Managerial)"
9532,0,"Associate","Healthcare","Experienced (Non-Managerial)"
9533,1982,"Bachelor of Arts","Sports","Experienced (Non-Managerial)"
9534,1993,"Bachelor of Arts","Education and Training","Experienced (Non-Managerial)"
9535,1986,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
9536,0,"","Science","Student"
9537,0,"GED","Retail","Experienced (Non-Managerial)"
9538,2013,"GCSE","0","Student"
9539,1998,"Certification","Healthcare","Manager"
9540,0,"Bachelors of Science","Community and Public Service","Student"
9541,2013,"","Nursing","Entry Level"
9542,2012,"Bachelor of Science","Psychology","Entry Level"
9543,0,"0","Engineering","Experienced (Non-Managerial)"
9544,1988,"Associate of Arts","0","0"
9545,0,"Associate","Administrative Support","Manager"
9546,1991,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
9547,0,"","Customer Service","Experienced (Non-Managerial)"
9548,2010,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9549,0,"Diploma","Engineering","Experienced (Non-Managerial)"
9550,2004,"High School Diploma","Healthcare","Entry Level"
9551,2011,"computer appliances","Installation and Maintenance","Student"
9552,2002,"GED","Customer Service","Experienced (Non-Managerial)"
9553,2006,"High School Diploma","Transportation and Distribution","Entry Level"
9554,0,"","Military","Experienced (Non-Managerial)"
9555,1995,"MBA","Computers and Technology","Executive"
9556,1994,"Certification, Nursing Assistant, 1994, Masonic Homes, Elizabethtown PA  Certification, Professional Coder","Healthcare","Manager"
9557,0,"0","Food and Beverage","Manager"
9558,0,"Associate of Science","Government","Manager"
9559,2002,"High School Diploma","Construction","Entry Level"
9560,0,"Diploma","Pharmacy","Experienced (Non-Managerial)"
9561,2010,"Associate of Science","Pharmacy","Entry Level"
9562,1989,"High School Diploma","Retail","Experienced (Non-Managerial)"
9563,0,"","0","Student"
9564,0,"Bachelor of Science","Healthcare","Entry Level"
9565,3,"High School Diploma","Telecommunications and Wireless","Manager"
9566,0,"0","Construction","Entry Level"
9567,2009,"Web Designer","Customer Service","Entry Level"
9568,2014,"Genereal Education Courses","Nursing","Student"
9569,1997,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
9570,2014,"Associate of Arts","Customer Service","Experienced (Non-Managerial)"
9571,0,"0","Sales","Student"
9572,2001,"Associate of Applied Science","Nursing","0"
9573,2010,"High School Diploma","0","0"
9574,2012,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
9575,2001,"Certificate","Education and Training","Experienced (Non-Managerial)"
9576,2001,"Bachlor of Business Legal studies ","Government","Experienced (Non-Managerial)"
9577,2017,"","0","Student"
9578,0,"0","Healthcare","Experienced (Non-Managerial)"
9579,1983,"","Food and Beverage","Entry Level"
9580,1986,"Bachelor of Science","Healthcare","Manager"
9581,2010,"Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
9582,2012,"Doctor of Business Administration","Management","Experienced (Non-Managerial)"
9583,2010,"High School Diploma","Retail","Experienced (Non-Managerial)"
9584,2013,"Bachelor of Arts","Management","Entry Level"
9585,1987,"High School Diploma","Construction","Manager"
9586,0,"0","Engineering","Experienced (Non-Managerial)"
9587,2012,"Associate of Applied Science","Customer Service","Student"
9588,2009,"Fashion Designer","Food and Beverage","Manager"
9589,0,"0","0","Experienced (Non-Managerial)"
9590,2006,"Bachelor of Arts","Retail","Experienced (Non-Managerial)"
9591,0,"0","0","Experienced (Non-Managerial)"
9592,1988,"","Transportation and Distribution","Entry Level"
9593,1997,"Diploma","Banking and Financial Services","Entry Level"
9594,0,"","Community and Public Service","Experienced (Non-Managerial)"
9595,0,"Associate of Arts","Retail","Experienced (Non-Managerial)"
9596,2012,"","Installation and Maintenance","Experienced (Non-Managerial)"
9597,2007,"High School Diploma","0","Entry Level"
9598,2004,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
9599,0,"0","Education and Training","Student"
9600,0,"Associates Degree","0","0"
9601,2013,"","Trades","Student"
9602,0,"0","0","Student"
9603,0,"Bachelor of Science","Sales","Entry Level"
9604,2014,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
9605,2005,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
9606,2008,"A-Levels","Customer Service","Student"
9607,2010,"High School Diploma","Administrative Support","Entry Level"
9608,2010,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9609,0,"","Administrative Support","Experienced (Non-Managerial)"
9610,2000,"","Sales","Manager"
9611,2007,"High School Diploma","0","Experienced (Non-Managerial)"
9612,0,"High School Diploma","Retail","Entry Level"
9613,0,"0","Business","Student"
9614,0,"0","Administrative Support","Experienced (Non-Managerial)"
9615,2016,"","Travel and Hospitality","Experienced (Non-Managerial)"
9616,1995,"High School Diploma","Trades","Entry Level"
9617,2009,"High School Diploma","Travel and Hospitality","Experienced (Non-Managerial)"
9618,1978,"","Nursing","Experienced (Non-Managerial)"
9619,2010,"","Business","Student"
9620,0,"0","0","0"
9621,1994,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
9622,1997,"High School Diploma","Administrative Support","0"
9623,1982,"Associate degree","Nursing","Experienced (Non-Managerial)"
9624,2013,"High School Diploma","Beauty and Spa","Experienced (Non-Managerial)"
9625,0,"Associate of Science","0","0"
9626,2014,"Bachelor of Arts","Beauty and Spa","Entry Level"
9627,0,"","0","0"
9628,2014,"High School Diploma","0","Entry Level"
9629,0,"Diploma","Art, Fashion and Design","Entry Level"
9630,1992,"/93- Naples- Italy  Course  in Hospitality  Management, Naples - Italy (2001)","Food and Beverage","Manager"
9631,0,"0","Sales","Executive"
9632,0,"","0","Manager"
9633,0,"Currently in attendance for","Fitness and Recreation","Entry Level"
9634,1995,"High School Diploma","Government","Entry Level"
9635,0,"0","0","Experienced (Non-Managerial)"
9636,0,"","Business","Student"
9637,2010,"Certificate IV Aboriginal Theatre","Customer Service","Student"
9638,0,"Continuing Education","0","0"
9639,1990,"","Customer Service","Experienced (Non-Managerial)"
9640,2005,"High School Diploma","Retail","Experienced (Non-Managerial)"
9641,1980,"O' Levels","Administrative Support","Manager"
9642,0,"none ","0","Experienced (Non-Managerial)"
9643,2008,"","Transportation and Distribution","Manager"
9644,2010,"","Healthcare","Student"
